node_A,node_B,node_C
D0574422,D0574420,D0574419
D0579481,D0574420,D0574417
D0579481,D0574420,D0574418
D0579481,D0574420,D0574419
D0579482,D0574420,D0574417
D0579482,D0574420,D0574418
D0579482,D0574420,D0574419
D0574422,D0574421,D0574417
D0574422,D0574421,D0574418
D0574422,D0574421,D0574419
D0574422,D0574421,D0574420
D0579481,D0574421,D0574417
D0579481,D0574421,D0574418
D0579481,D0574421,D0574419
D0579481,D0574421,D0574420
D0579482,D0574421,D0574417
D0579482,D0574421,D0574418
D0579482,D0574421,D0574419
D0579482,D0574421,D0574420
D0579481,D0574422,D0574417
D0579481,D0574422,D0574418
D0579481,D0574422,D0574419
D0579481,D0574422,D0574420
D0579481,D0574422,D0574421
D0579482,D0574422,D0574417
D0579482,D0574422,D0574418
D0579482,D0574422,D0574419
D0579482,D0574422,D0574420
D0579482,D0574422,D0574421
D0579482,D0579481,D0574417
D0579482,D0579481,D0574418
D0579482,D0579481,D0574419
D0579482,D0579481,D0574420
D0579482,D0579481,D0574421
D0579482,D0579481,D0574422
D0581975,D0581457,D0573180
D0596663,D0588190,D0585483
D0588633,D0588190,D0585483
D0602074,D0602073,D0591335
D0602518,D0602073,D0591335
D0604763,D0602073,D0591335
D0602518,D0602074,D0591335
D0602518,D0602074,D0602073
D0604763,D0602074,D0591335
D0604763,D0602074,D0602073
D0604763,D0602518,D0591335
D0604763,D0602518,D0602073
D0604763,D0602518,D0602074
D0598045,D0594055,D0587296
D0597131,D0595346,D0595345
D0587748,D0586849,D0585090
D0591340,D0586849,D0585090
D0592241,D0586849,D0585090
D0595767,D0586849,D0585090
D0591792,D0586849,D0585090
D0591340,D0587748,D0586849
D0592241,D0587748,D0586849
D0595767,D0587748,D0586849
D0592241,D0591340,D0586849
D0592241,D0591340,D0587748
D0595767,D0591340,D0586849
D0595767,D0591340,D0587748
D0595767,D0592241,D0586849
D0595767,D0592241,D0587748
D0595767,D0592241,D0591340
D0595767,D0592241,D0591791
D0616019,D0611530,D0608822
D0614234,D0607925,D0607502
D0620519,D0615583,D0614687
D0620519,D0615583,D0615120
D0617830,D0615583,D0614687
D0617830,D0615583,D0615120
D0616926,D0616925,D0611525
D0616926,D0616925,D0615122
D0616926,D0616925,D0615123
D0616926,D0616925,D0616924
D0615123,D0615122,D0611525
D0616924,D0615122,D0611525
D0616925,D0615122,D0611525
D0616926,D0615122,D0611525
D0616924,D0615123,D0611525
D0616924,D0615123,D0615122
D0616925,D0615123,D0611525
D0616925,D0615123,D0615122
D0616926,D0615123,D0611525
D0616926,D0615123,D0615122
D0616925,D0616924,D0611525
D0616925,D0616924,D0615122
D0616925,D0616924,D0615123
D0616926,D0616924,D0611525
D0616926,D0616924,D0615122
D0616926,D0616924,D0615123
D0629041,D0626589,D0614695
D0629041,D0626589,D0613331
D0618275,D0616490,D0611525
D0616923,D0616490,D0611525
D0626589,D0613331,D0612415
D0626589,D0613331,D0612417
D0613331,D0612417,D0612415
D0615583,D0615120,D0614687
D0648776,D0647558,D0644683
D0648777,D0647558,D0644683
D0648778,D0647558,D0644683
D0648779,D0647558,D0644683
D0648777,D0648776,D0644683
D0648777,D0648776,D0647558
D0648778,D0648776,D0644683
D0648778,D0648776,D0647558
D0648779,D0648776,D0644683
D0648779,D0648776,D0647558
D0648778,D0648777,D0644683
D0648778,D0648777,D0647558
D0648778,D0648777,D0648776
D0648779,D0648777,D0644683
D0648779,D0648777,D0647558
D0648779,D0648777,D0648776
D0648779,D0648778,D0644683
D0648779,D0648778,D0647558
D0648779,D0648778,D0648776
D0648779,D0648778,D0648777
D0639847,D0631505,D0631504
D0650834,D0631505,D0631504
D0650834,D0639847,D0631504
D0650834,D0639847,D0631505
D0650834,D0639847,D0633557
D0643058,D0639847,D0631504
D0643058,D0639847,D0631505
D0643058,D0639847,D0633557
D0650417,D0648783,D0640737
D0636435,D0630244,D0630243
D0636436,D0630244,D0630243
D0636813,D0630244,D0630243
D0636436,D0636435,D0630243
D0636436,D0636435,D0630244
D0636813,D0636435,D0630243
D0636813,D0636435,D0630244
D0636813,D0636436,D0630243
D0636813,D0636436,D0630244
D0636813,D0636436,D0636435
D0648375,D0647953,D0647952
D0631090,D0631089,D0631088
D0671593,D0670327,D0667051
D0656181,D0655748,D0653702
D0670327,D0667051,D0664192
D0670327,D0667051,D0665016
D0670327,D0667051,D0665840
D0665840,D0665016,D0665014
D0665840,D0665016,D0665015
D0667051,D0665016,D0665014
D0667051,D0665016,D0665015
D0667050,D0665016,D0665014
D0667050,D0665016,D0665015
D0667051,D0665840,D0665016
D0665016,D0665015,D0665014
D0667050,D0665015,D0665014
D0667489,D0665015,D0665014
D0656540,D0656185,D0656184
D0666240,D0656185,D0656184
D0656186,D0656185,D0656184
D0666240,D0656540,D0656184
D0666240,D0656540,D0656185
D0666240,D0656540,D0655332
D0666240,D0656540,D0656186
D0667492,D0656540,D0656184
D0667492,D0656540,D0656185
D0667492,D0656540,D0655332
D0667492,D0656540,D0656186
D0667493,D0656540,D0656184
D0667493,D0656540,D0656185
D0667493,D0656540,D0655332
D0667493,D0656540,D0656186
D0656186,D0655332,D0652862
D0656540,D0655332,D0652862
D0656540,D0656186,D0656184
D0656540,D0656186,D0656185
D0656540,D0656186,D0655332
D0667493,D0667492,D0656540
D0668289,D0666665,D0652862
D0665012,D0653704,D0653703
D0667490,D0667489,D0665015
D0661344,D0659752,D0659751
D0662542,D0659752,D0659751
D0662542,D0661344,D0659751
D0662542,D0661344,D0659752
D0669525,D0663765,D0661727
D0671164,D0663765,D0661727
D0671164,D0669525,D0661727
D0671164,D0669525,D0663765
D0671164,D0669525,D0652444
D0678405,D0678404,D0677722
D0678408,D0678404,D0677722
D0682929,D0678404,D0677722
D0682930,D0678404,D0677722
D0695823,D0678404,D0677722
D0678408,D0678405,D0677722
D0678408,D0678405,D0678404
D0682929,D0678405,D0677722
D0682929,D0678405,D0678404
D0682930,D0678405,D0677722
D0682930,D0678405,D0678404
D0695823,D0678405,D0677722
D0695823,D0678405,D0678404
D0682929,D0678408,D0677722
D0682929,D0678408,D0678404
D0682929,D0678408,D0678405
D0682930,D0678408,D0677722
D0682930,D0678408,D0678404
D0682930,D0678408,D0678405
D0695823,D0678408,D0677722
D0695823,D0678408,D0678404
D0695823,D0678408,D0678405
D0682930,D0682929,D0677722
D0682930,D0682929,D0678404
D0682930,D0682929,D0678405
D0682930,D0682929,D0678408
D0682930,D0682929,D0677721
D0682930,D0682929,D0681728
D0695823,D0682929,D0677722
D0695823,D0682929,D0678404
D0695823,D0682929,D0678405
D0695823,D0682929,D0678408
D0695823,D0682929,D0677721
D0695823,D0682929,D0681728
D0692052,D0682929,D0677722
D0692052,D0682929,D0678404
D0692052,D0682929,D0678405
D0692052,D0682929,D0678408
D0692052,D0682929,D0677721
D0692052,D0682929,D0681728
D0682931,D0682929,D0677722
D0682931,D0682929,D0678404
D0682931,D0682929,D0678405
D0682931,D0682929,D0678408
D0682931,D0682929,D0677721
D0682931,D0682929,D0681728
D0695823,D0682930,D0677722
D0695823,D0682930,D0678404
D0695823,D0682930,D0678405
D0695823,D0682930,D0678408
D0695823,D0682930,D0682929
D0694816,D0694815,D0679750
D0689132,D0689131,D0689130
D0689133,D0689131,D0689130
D0689133,D0689132,D0689130
D0689133,D0689132,D0689131
D0681717,D0679745,D0676481
D0681717,D0679745,D0676900
D0681717,D0679745,D0677714
D0689921,D0679745,D0676481
D0689921,D0679745,D0676900
D0689921,D0679745,D0677714
D0689921,D0681717,D0676481
D0689921,D0681717,D0679745
D0689921,D0681717,D0676900
D0689921,D0681717,D0677714
D0686657,D0679319,D0678396
D0688740,D0679319,D0678396
D0694813,D0679319,D0678396
D0686655,D0679319,D0678396
D0688739,D0679319,D0678396
D0694812,D0679319,D0678396
D0695337,D0679319,D0678396
D0688740,D0686657,D0679319
D0688740,D0686657,D0678396
D0688740,D0686657,D0686655
D0688740,D0686657,D0677717
D0694813,D0686657,D0679319
D0694813,D0686657,D0678396
D0694813,D0686657,D0686655
D0694813,D0686657,D0677717
D0688739,D0686657,D0679319
D0688739,D0686657,D0678396
D0688739,D0686657,D0686655
D0688739,D0686657,D0677717
D0694812,D0686657,D0679319
D0694812,D0686657,D0678396
D0694812,D0686657,D0686655
D0694812,D0686657,D0677717
D0695337,D0686657,D0679319
D0695337,D0686657,D0678396
D0695337,D0686657,D0686655
D0695337,D0686657,D0677717
D0690764,D0686657,D0679319
D0690764,D0686657,D0678396
D0690764,D0686657,D0686655
D0690764,D0686657,D0677717
D0694813,D0688740,D0679319
D0694813,D0688740,D0686657
D0694813,D0688740,D0678396
D0694813,D0688740,D0677717
D0690764,D0688740,D0679319
D0690764,D0688740,D0686657
D0690764,D0688740,D0678396
D0690764,D0688740,D0677717
D0694812,D0688740,D0679319
D0694812,D0688740,D0686657
D0694812,D0688740,D0678396
D0694812,D0688740,D0677717
D0695337,D0688740,D0679319
D0695337,D0688740,D0686657
D0695337,D0688740,D0678396
D0695337,D0688740,D0677717
D0695337,D0694813,D0679319
D0695337,D0694813,D0686657
D0695337,D0694813,D0688740
D0695337,D0694813,D0678396
D0695337,D0694813,D0694812
D0695337,D0694813,D0677717
D0695337,D0694813,D0690764
D0695337,D0694813,D0679320
D0679319,D0678396,D0677717
D0686655,D0678396,D0677717
D0686657,D0678396,D0677717
D0688739,D0678396,D0677717
D0694812,D0678396,D0677717
D0695337,D0678396,D0677717
D0688740,D0678396,D0677717
D0690764,D0678396,D0677717
D0694813,D0678396,D0677717
D0686657,D0686655,D0679319
D0686657,D0686655,D0678396
D0688739,D0686655,D0679319
D0688739,D0686655,D0678396
D0694812,D0686655,D0679319
D0694812,D0686655,D0678396
D0695337,D0686655,D0679319
D0695337,D0686655,D0678396
D0694812,D0688739,D0679319
D0694812,D0688739,D0686657
D0694812,D0688739,D0678396
D0694812,D0688739,D0686655
D0695337,D0688739,D0679319
D0695337,D0688739,D0686657
D0695337,D0688739,D0678396
D0695337,D0688739,D0686655
D0690764,D0688739,D0679319
D0690764,D0688739,D0686657
D0690764,D0688739,D0678396
D0690764,D0688739,D0686655
D0695337,D0694812,D0679319
D0695337,D0694812,D0686657
D0695337,D0694812,D0688740
D0695337,D0694812,D0678396
D0695337,D0694812,D0686655
D0695337,D0694812,D0688739
D0695337,D0694812,D0677717
D0695337,D0694812,D0690764
D0695337,D0694812,D0679748
D0694813,D0694812,D0679319
D0694813,D0694812,D0686657
D0694813,D0694812,D0688740
D0694813,D0694812,D0678396
D0694813,D0694812,D0686655
D0694813,D0694812,D0688739
D0694813,D0694812,D0677717
D0694813,D0694812,D0690764
D0694813,D0694812,D0679748
D0689126,D0687484,D0686654
D0690349,D0687484,D0686654
D0690349,D0689126,D0686654
D0690349,D0689126,D0687484
D0694812,D0690764,D0686657
D0694812,D0690764,D0688740
D0694812,D0690764,D0678396
D0694812,D0690764,D0688739
D0694812,D0690764,D0677717
D0694813,D0690764,D0686657
D0694813,D0690764,D0688740
D0694813,D0690764,D0678396
D0694813,D0690764,D0688739
D0694813,D0690764,D0677717
D0695337,D0690764,D0686657
D0695337,D0690764,D0688740
D0695337,D0690764,D0678396
D0695337,D0690764,D0688739
D0695337,D0690764,D0677717
D0693400,D0674007,D0674005
D0695338,D0674007,D0674005
D0695820,D0674007,D0674005
D0695338,D0693400,D0674005
D0695338,D0693400,D0674007
D0695820,D0693400,D0674005
D0695820,D0693400,D0674007
D0695820,D0695338,D0674005
D0695820,D0695338,D0674007
D0695820,D0695338,D0693400
D0679745,D0677714,D0676900
D0681717,D0677714,D0676900
D0689921,D0677714,D0676900
D0686273,D0677714,D0676900
D0685411,D0681107,D0680162
D0685411,D0681107,D0678403
D0685411,D0681107,D0680163
D0694316,D0681107,D0680162
D0694316,D0681107,D0678403
D0694316,D0681107,D0680163
D0681726,D0681107,D0680162
D0681726,D0681107,D0678403
D0681726,D0681107,D0680163
D0689543,D0681107,D0680162
D0689543,D0681107,D0678403
D0689543,D0681107,D0680163
D0687485,D0678937,D0676081
D0689541,D0678937,D0676081
D0692476,D0678937,D0676081
D0693872,D0678937,D0676081
D0689541,D0687485,D0676081
D0689541,D0687485,D0678937
D0692476,D0687485,D0676081
D0692476,D0687485,D0678937
D0692476,D0689541,D0676081
D0692476,D0689541,D0678937
D0692476,D0689541,D0687485
D0693399,D0692945,D0692944
D0682929,D0681728,D0677721
D0692052,D0681728,D0677721
D0694316,D0689543,D0681107
D0694316,D0689543,D0673603
D0694316,D0689543,D0680162
D0694316,D0689543,D0678403
D0694316,D0689543,D0680163
D0694316,D0689543,D0681726
D0694318,D0689543,D0681107
D0694318,D0689543,D0673603
D0694318,D0689543,D0680162
D0694318,D0689543,D0678403
D0694318,D0689543,D0680163
D0694318,D0689543,D0681726
D0694318,D0694316,D0681107
D0694318,D0694316,D0673603
D0694318,D0694316,D0689543
D0694317,D0685415,D0677720
D0694317,D0685415,D0681719
D0694319,D0685415,D0677720
D0694319,D0685415,D0681719
D0694319,D0694317,D0685415
D0681108,D0680162,D0680161
D0681108,D0680162,D0678403
D0680163,D0680162,D0680161
D0680163,D0680162,D0678403
D0681107,D0680162,D0680161
D0681107,D0680162,D0678403
D0681726,D0680162,D0680161
D0681726,D0680162,D0678403
D0689543,D0680162,D0680161
D0689543,D0680162,D0678403
D0680581,D0680162,D0680161
D0680581,D0680162,D0678403
D0681721,D0680162,D0680161
D0681721,D0680162,D0678403
D0686659,D0680162,D0680161
D0686659,D0680162,D0678403
D0680162,D0678403,D0675673
D0680163,D0678403,D0675673
D0681107,D0678403,D0675673
D0681726,D0678403,D0675673
D0689543,D0678403,D0675673
D0694318,D0678403,D0675673
D0681107,D0680163,D0680162
D0681107,D0680163,D0678403
D0681726,D0680163,D0680162
D0681726,D0680163,D0678403
D0689543,D0680163,D0680162
D0689543,D0680163,D0678403
D0681108,D0680163,D0680162
D0681108,D0680163,D0678403
D0686659,D0680163,D0680162
D0686659,D0680163,D0678403
D0689543,D0681726,D0681107
D0689543,D0681726,D0680162
D0689543,D0681726,D0678403
D0689543,D0681726,D0680163
D0682348,D0675675,D0675674
D0681721,D0680581,D0680162
D0695339,D0680581,D0680162
D0681720,D0678402,D0675673
D0686658,D0681720,D0678402
D0695339,D0692477,D0685414
D0685415,D0681719,D0677720
D0695339,D0687089,D0685414
D0698858,D0698857,D0698388
D0716371,D0716370,D0705346
D0716371,D0716370,D0706337
D0716371,D0716370,D0711460
D0716372,D0716370,D0705346
D0716372,D0716370,D0706337
D0716372,D0716370,D0711460
D0711460,D0706337,D0705346
D0716370,D0706337,D0705346
D0716372,D0706337,D0705346
D0716371,D0706337,D0705346
D0716370,D0711460,D0705346
D0716370,D0711460,D0706337
D0716372,D0711460,D0705346
D0716372,D0711460,D0706337
D0713447,D0711460,D0705346
D0713447,D0711460,D0706337
D0720000,D0711460,D0705346
D0720000,D0711460,D0706337
D0719999,D0716372,D0716370
D0719999,D0716372,D0705346
D0719999,D0716372,D0706337
D0719999,D0716372,D0711460
D0720000,D0713447,D0711460
D0720000,D0713447,D0707288
D0698389,D0697967,D0697966
D0702760,D0697967,D0697966
D0718383,D0697967,D0697966
D0702760,D0698389,D0697966
D0702760,D0698389,D0697967
D0718383,D0698389,D0697966
D0718383,D0698389,D0697967
D0718383,D0702760,D0697966
D0718383,D0702760,D0697967
D0718383,D0702760,D0698389
D0715355,D0714863,D0697131
D0708254,D0707750,D0707749
D0705855,D0705853,D0705347
D0705856,D0705853,D0705347
D0705856,D0705855,D0705347
D0705856,D0705855,D0705853
D0699784,D0697965,D0697964
D0701563,D0697965,D0697964
D0706341,D0701898,D0700650
D0703264,D0701898,D0700650
D0706341,D0703264,D0701898
D0706341,D0703264,D0701561
D0706341,D0703264,D0700650
D0707752,D0707751,D0697549
D0718382,D0712459,D0711462
D0738430,D0738428,D0735266
D0740359,D0734814,D0733217
D0740359,D0734814,D0724141
D0740359,D0734814,D0725184
D0740359,D0734814,D0722108
D0725184,D0724141,D0723615
D0734814,D0724141,D0723615
D0740359,D0724141,D0723615
D0734814,D0725184,D0724141
D0734814,D0725184,D0722339
D0740359,D0725184,D0724141
D0740359,D0725184,D0722339
D0726249,D0725184,D0724141
D0726249,D0725184,D0722339
D0727413,D0725184,D0724141
D0727413,D0725184,D0722339
D0727414,D0725184,D0724141
D0727414,D0725184,D0722339
D0727415,D0725184,D0724141
D0727415,D0725184,D0722339
D0741945,D0725184,D0724141
D0741945,D0725184,D0722339
D0727413,D0726249,D0725184
D0727413,D0726249,D0722339
D0727413,D0726249,D0724142
D0727414,D0726249,D0725184
D0727414,D0726249,D0722339
D0727414,D0726249,D0724142
D0727415,D0726249,D0725184
D0727415,D0726249,D0722339
D0727415,D0726249,D0724142
D0741945,D0726249,D0725184
D0741945,D0726249,D0722339
D0741945,D0726249,D0724142
D0726250,D0726249,D0725184
D0726250,D0726249,D0722339
D0726250,D0726249,D0724142
D0726251,D0726249,D0725184
D0726251,D0726249,D0722339
D0726251,D0726249,D0724142
D0742960,D0726249,D0725184
D0742960,D0726249,D0722339
D0742960,D0726249,D0724142
D0727414,D0727413,D0725184
D0727414,D0727413,D0722339
D0727414,D0727413,D0726249
D0727415,D0727413,D0725184
D0727415,D0727413,D0722339
D0727415,D0727413,D0726249
D0741945,D0727413,D0725184
D0741945,D0727413,D0722339
D0741945,D0727413,D0726249
D0727415,D0727414,D0725184
D0727415,D0727414,D0722339
D0727415,D0727414,D0726249
D0727415,D0727414,D0727413
D0741945,D0727414,D0725184
D0741945,D0727414,D0722339
D0741945,D0727414,D0726249
D0741945,D0727414,D0727413
D0741945,D0727415,D0725184
D0741945,D0727415,D0722339
D0741945,D0727415,D0726249
D0741945,D0727415,D0727413
D0741945,D0727415,D0727414
D0741945,D0727415,D0724140
D0727416,D0727415,D0725184
D0727416,D0727415,D0722339
D0727416,D0727415,D0726249
D0727416,D0727415,D0727413
D0727416,D0727415,D0727414
D0727416,D0727415,D0724140
D0727417,D0727410,D0727409
D0742450,D0727410,D0727409
D0742450,D0727417,D0727409
D0742450,D0727417,D0727410
D0740358,D0732108,D0730437
D0737895,D0732108,D0730437
D0732108,D0730437,D0720803
D0732108,D0730437,D0722109
D0737895,D0730437,D0720803
D0737895,D0730437,D0722109
D0744028,D0730437,D0720803
D0744028,D0730437,D0722109
D0744028,D0737895,D0732108
D0744028,D0737895,D0730437
D0744028,D0737895,D0720803
D0744028,D0737895,D0722109
D0742960,D0726251,D0726249
D0742960,D0726251,D0724142
D0742960,D0726251,D0726250
D0728675,D0725181,D0725180
D0726251,D0726250,D0726249
D0726251,D0726250,D0724142
D0742960,D0726250,D0726249
D0742960,D0726250,D0724142
D0745601,D0745600,D0745087
D0762766,D0762258,D0759748
D0771180,D0762258,D0759748
D0773554,D0762258,D0759748
D0763346,D0762258,D0759748
D0768766,D0762766,D0759748
D0768766,D0762766,D0762258
D0768767,D0762766,D0759748
D0768767,D0762766,D0762258
D0763956,D0762766,D0759748
D0763956,D0762766,D0762258
D0765767,D0762766,D0759748
D0765767,D0762766,D0762258
D0771181,D0762766,D0759748
D0771181,D0762766,D0762258
D0773554,D0771180,D0759748
D0773554,D0771180,D0762258
D0773554,D0771180,D0763346
D0772335,D0771180,D0759748
D0772335,D0771180,D0762258
D0772335,D0771180,D0763346
D0771180,D0763346,D0759748
D0771180,D0763346,D0762258
D0773554,D0763346,D0759748
D0773554,D0763346,D0762258
D0772335,D0763346,D0759748
D0772335,D0763346,D0762258
D0772977,D0750164,D0749169
D0772977,D0750164,D0749172
D0765772,D0750164,D0749169
D0765772,D0750164,D0749172
D0765772,D0763958,D0755889
D0769965,D0763958,D0755889
D0771183,D0763958,D0755889
D0772977,D0763958,D0755889
D0769965,D0765772,D0750164
D0769965,D0765772,D0755889
D0769965,D0765772,D0763958
D0771183,D0765772,D0750164
D0771183,D0765772,D0755889
D0771183,D0765772,D0763958
D0772977,D0765772,D0750164
D0772977,D0765772,D0755889
D0772977,D0765772,D0763958
D0771183,D0769965,D0755889
D0771183,D0769965,D0763958
D0771183,D0769965,D0765772
D0771183,D0769965,D0758486
D0771183,D0769965,D0755284
D0771183,D0769965,D0752135
D0772977,D0769965,D0755889
D0772977,D0769965,D0763958
D0772977,D0769965,D0765772
D0772977,D0769965,D0758486
D0772977,D0769965,D0755284
D0772977,D0769965,D0752135
D0772977,D0771183,D0755889
D0772977,D0771183,D0763958
D0772977,D0771183,D0765772
D0772977,D0771183,D0769965
D0767676,D0758486,D0755286
D0767676,D0758486,D0755284
D0769968,D0758486,D0755286
D0769968,D0758486,D0755284
D0769965,D0758486,D0755286
D0769965,D0758486,D0755284
D0769968,D0767676,D0755286
D0769968,D0767676,D0758486
D0763957,D0757170,D0750165
D0771182,D0763957,D0750165
D0771182,D0763957,D0757170
D0775275,D0763957,D0750165
D0775275,D0763957,D0757170
D0750164,D0749172,D0749169
D0757165,D0754787,D0751635
D0754788,D0754787,D0751635
D0757164,D0754787,D0751635
D0757165,D0757164,D0751635
D0757165,D0757164,D0754787
D0775275,D0765166,D0751636
D0775275,D0765166,D0750162
D0766359,D0765166,D0751636
D0766359,D0765166,D0750162
D0768768,D0765166,D0751636
D0768768,D0765166,D0750162
D0771182,D0765166,D0751636
D0771182,D0765166,D0750162
D0768768,D0766359,D0751635
D0768768,D0766359,D0765166
D0768768,D0766359,D0760835
D0775275,D0766359,D0751635
D0775275,D0766359,D0765166
D0775275,D0766359,D0760835
D0766360,D0766359,D0751635
D0766360,D0766359,D0765166
D0766360,D0766359,D0760835
D0767671,D0766359,D0751635
D0767671,D0766359,D0765166
D0767671,D0766359,D0760835
D0775275,D0768768,D0751636
D0775275,D0768768,D0765166
D0775275,D0768768,D0766359
D0775275,D0768768,D0757848
D0775275,D0768768,D0758481
D0775275,D0768768,D0765773
D0775275,D0768768,D0767671
D0771182,D0768768,D0751636
D0771182,D0768768,D0765166
D0771182,D0768768,D0766359
D0771182,D0768768,D0757848
D0771182,D0768768,D0758481
D0771182,D0768768,D0765773
D0771182,D0768768,D0767671
D0775275,D0771182,D0763957
D0775275,D0771182,D0751636
D0775275,D0771182,D0765166
D0775275,D0771182,D0768768
D0775275,D0771182,D0757848
D0775275,D0771182,D0758481
D0775275,D0771182,D0765773
D0775275,D0771182,D0767671
D0768767,D0768766,D0759748
D0768767,D0768766,D0762766
D0761906,D0761353,D0759154
D0762770,D0761353,D0759154
D0771184,D0761353,D0759154
D0762260,D0761353,D0759154
D0762261,D0761353,D0759154
D0767672,D0761353,D0759154
D0767673,D0761353,D0759154
D0767674,D0761353,D0759154
D0762770,D0761906,D0761353
D0771184,D0761906,D0761353
D0771184,D0762770,D0761353
D0771184,D0762770,D0761906
D0761902,D0753217,D0750162
D0769965,D0752135,D0750701
D0769965,D0752135,D0752134
D0762261,D0762260,D0761353
D0762261,D0762260,D0759154
D0767672,D0762260,D0761353
D0767672,D0762260,D0759154
D0767673,D0762260,D0761353
D0767673,D0762260,D0759154
D0767674,D0762260,D0761353
D0767674,D0762260,D0759154
D0767672,D0762261,D0761353
D0767672,D0762261,D0759154
D0767672,D0762261,D0762260
D0767673,D0762261,D0761353
D0767673,D0762261,D0759154
D0767673,D0762261,D0762260
D0767674,D0762261,D0761353
D0767674,D0762261,D0759154
D0767674,D0762261,D0762260
D0767673,D0767672,D0761353
D0767673,D0767672,D0759154
D0767673,D0767672,D0762260
D0767673,D0767672,D0762261
D0767674,D0767672,D0761353
D0767674,D0767672,D0759154
D0767674,D0767672,D0762260
D0767674,D0767672,D0762261
D0767674,D0767673,D0761353
D0767674,D0767673,D0759154
D0767674,D0767673,D0762260
D0767674,D0767673,D0762261
D0767674,D0767673,D0767672
D0765767,D0763956,D0762766
D0764574,D0763956,D0762766
D0758481,D0757848,D0751636
D0765773,D0757848,D0751636
D0767671,D0757848,D0751636
D0768768,D0757848,D0751636
D0771182,D0757848,D0751636
D0775275,D0757848,D0751636
D0765773,D0758481,D0751636
D0765773,D0758481,D0750162
D0765773,D0758481,D0757848
D0765773,D0758481,D0752137
D0767671,D0758481,D0751636
D0767671,D0758481,D0750162
D0767671,D0758481,D0757848
D0767671,D0758481,D0752137
D0768768,D0758481,D0751636
D0768768,D0758481,D0750162
D0768768,D0758481,D0757848
D0768768,D0758481,D0752137
D0771182,D0758481,D0751636
D0771182,D0758481,D0750162
