node_A,node_B,node_C,sim_B_A,sim_C_B
D0629041,D0626589,D0614695,0.669367,0.95054
D0629041,D0626589,D0613331,0.669367,0.92851
D0618275,D0616490,D0611525,0.921313,0.903946
D0616923,D0616490,D0611525,0.932226,0.903946
D0626589,D0613331,D0612415,0.92851,0.925723
D0626589,D0613331,D0612417,0.92851,0.919709
D0613331,D0612417,D0612415,0.919709,0.97259
D0615583,D0615120,D0614687,0.977243,0.966954
D0648776,D0647558,D0644683,0.710545,0.890724
D0648777,D0647558,D0644683,0.916363,0.890724
D0648778,D0647558,D0644683,0.911711,0.890724
D0648779,D0647558,D0644683,0.82164,0.890724
D0648777,D0648776,D0644683,0.840434,0.87982
D0648777,D0648776,D0647558,0.840434,0.710545
D0648778,D0648776,D0644683,0.84806,0.87982
D0648778,D0648776,D0647558,0.84806,0.710545
D0648779,D0648776,D0644683,0.901906,0.87982
D0648779,D0648776,D0647558,0.901906,0.710545
D0648778,D0648777,D0644683,0.988032,0.945484
D0648778,D0648777,D0647558,0.988032,0.916363
D0648778,D0648777,D0648776,0.988032,0.840434
D0648779,D0648777,D0644683,0.908249,0.945484
D0648779,D0648777,D0647558,0.908249,0.916363
D0648779,D0648777,D0648776,0.908249,0.840434
D0648779,D0648778,D0644683,0.917898,0.94604
D0648779,D0648778,D0647558,0.917898,0.911711
D0648779,D0648778,D0648776,0.917898,0.84806
D0648779,D0648778,D0648777,0.917898,0.988032
D0639847,D0631505,D0631504,0.839641,0.993214
D0650834,D0631505,D0631504,0.976549,0.993214
D0650834,D0639847,D0631504,0.856452,0.830537
D0650834,D0639847,D0631505,0.856452,0.839641
D0650834,D0639847,D0633557,0.856452,0.690639
D0643058,D0639847,D0631504,0.823689,0.830537
D0643058,D0639847,D0631505,0.823689,0.839641
D0643058,D0639847,D0633557,0.823689,0.690639
D0650417,D0648783,D0640737,0.889641,0.808195
D0636435,D0630244,D0630243,0.855899,0.977838
D0636436,D0630244,D0630243,0.669597,0.977838
D0636813,D0630244,D0630243,0.809018,0.977838
D0636436,D0636435,D0630243,0.74804,0.85175
D0636436,D0636435,D0630244,0.74804,0.855899
D0636813,D0636435,D0630243,0.878172,0.85175
D0636813,D0636435,D0630244,0.878172,0.855899
D0636813,D0636436,D0630243,0.88739,0.652962
D0636813,D0636436,D0630244,0.88739,0.669597
D0636813,D0636436,D0636435,0.88739,0.74804
D0648375,D0647953,D0647952,0.719974,0.924573
D0631090,D0631089,D0631088,0.994146,0.99101
D0671593,D0670327,D0667051,0.956772,0.86977
D0656181,D0655748,D0653702,0.903992,0.860605
D0670327,D0667051,D0664192,0.86977,0.760986
D0670327,D0667051,D0665016,0.86977,0.851076
D0670327,D0667051,D0665840,0.86977,0.66365
D0665840,D0665016,D0665014,0.788881,0.978045
D0665840,D0665016,D0665015,0.788881,0.990066
D0667051,D0665016,D0665014,0.851076,0.978045
D0667051,D0665016,D0665015,0.851076,0.990066
D0667050,D0665016,D0665014,0.896582,0.978045
D0667050,D0665016,D0665015,0.896582,0.990066
D0667051,D0665840,D0665016,0.66365,0.788881
D0665016,D0665015,D0665014,0.990066,0.965161
D0667050,D0665015,D0665014,0.893363,0.965161
D0667489,D0665015,D0665014,0.684016,0.965161
D0656540,D0656185,D0656184,0.942054,0.940908
D0666240,D0656185,D0656184,0.917639,0.940908
D0656186,D0656185,D0656184,0.935712,0.940908
D0666240,D0656540,D0656184,0.910736,0.940382
D0666240,D0656540,D0656185,0.910736,0.942054
D0666240,D0656540,D0655332,0.910736,0.785404
D0666240,D0656540,D0656186,0.910736,0.981371
D0667492,D0656540,D0656184,0.857221,0.940382
D0667492,D0656540,D0656185,0.857221,0.942054
D0667492,D0656540,D0655332,0.857221,0.785404
D0667492,D0656540,D0656186,0.857221,0.981371
D0667493,D0656540,D0656184,0.90476,0.940382
D0667493,D0656540,D0656185,0.90476,0.942054
D0667493,D0656540,D0655332,0.90476,0.785404
D0667493,D0656540,D0656186,0.90476,0.981371
D0656186,D0655332,D0652862,0.743895,0.492355
D0656540,D0655332,D0652862,0.785404,0.492355
D0656540,D0656186,D0656184,0.981371,0.938165
D0656540,D0656186,D0656185,0.981371,0.935712
D0656540,D0656186,D0655332,0.981371,0.743895
D0667493,D0667492,D0656540,0.863127,0.857221
D0668289,D0666665,D0652862,0.712686,0.677253
D0665012,D0653704,D0653703,0.813768,0.993511
D0667490,D0667489,D0665015,0.975277,0.684016
D0661344,D0659752,D0659751,0.834821,0.956208
D0662542,D0659752,D0659751,0.900025,0.956208
D0662542,D0661344,D0659751,0.878594,0.903611
D0662542,D0661344,D0659752,0.878594,0.834821
D0669525,D0663765,D0661727,0.944088,0.920714
D0671164,D0663765,D0661727,0.948446,0.920714
D0671164,D0669525,D0661727,0.960612,0.842066
D0671164,D0669525,D0663765,0.960612,0.944088
D0671164,D0669525,D0652444,0.960612,0.813292
D0678405,D0678404,D0677722,0.87773,0.873548
D0678408,D0678404,D0677722,0.917368,0.873548
D0682929,D0678404,D0677722,0.895478,0.873548
D0682930,D0678404,D0677722,0.892224,0.873548
D0695823,D0678404,D0677722,0.83168,0.873548
D0678408,D0678405,D0677722,0.865121,0.825698
D0678408,D0678405,D0678404,0.865121,0.87773
D0682929,D0678405,D0677722,0.892021,0.825698
D0682929,D0678405,D0678404,0.892021,0.87773
D0682930,D0678405,D0677722,0.915031,0.825698
D0682930,D0678405,D0678404,0.915031,0.87773
D0695823,D0678405,D0677722,0.795175,0.825698
D0695823,D0678405,D0678404,0.795175,0.87773
D0682929,D0678408,D0677722,0.926437,0.921305
D0682929,D0678408,D0678404,0.926437,0.917368
D0682929,D0678408,D0678405,0.926437,0.865121
D0682930,D0678408,D0677722,0.897619,0.921305
D0682930,D0678408,D0678404,0.897619,0.917368
D0682930,D0678408,D0678405,0.897619,0.865121
D0695823,D0678408,D0677722,0.877916,0.921305
D0695823,D0678408,D0678404,0.877916,0.917368
D0695823,D0678408,D0678405,0.877916,0.865121
D0682930,D0682929,D0677722,0.95069,0.897746
D0682930,D0682929,D0678404,0.95069,0.895478
D0682930,D0682929,D0678405,0.95069,0.892021
D0682930,D0682929,D0678408,0.95069,0.926437
D0682930,D0682929,D0677721,0.95069,0.844358
D0682930,D0682929,D0681728,0.95069,0.918959
D0695823,D0682929,D0677722,0.915063,0.897746
D0695823,D0682929,D0678404,0.915063,0.895478
D0695823,D0682929,D0678405,0.915063,0.892021
D0695823,D0682929,D0678408,0.915063,0.926437
D0695823,D0682929,D0677721,0.915063,0.844358
D0695823,D0682929,D0681728,0.915063,0.918959
D0692052,D0682929,D0677722,0.806461,0.897746
D0692052,D0682929,D0678404,0.806461,0.895478
D0692052,D0682929,D0678405,0.806461,0.892021
D0692052,D0682929,D0678408,0.806461,0.926437
D0692052,D0682929,D0677721,0.806461,0.844358
D0692052,D0682929,D0681728,0.806461,0.918959
D0682931,D0682929,D0677722,0.966354,0.897746
D0682931,D0682929,D0678404,0.966354,0.895478
D0682931,D0682929,D0678405,0.966354,0.892021
D0682931,D0682929,D0678408,0.966354,0.926437
D0682931,D0682929,D0677721,0.966354,0.844358
D0682931,D0682929,D0681728,0.966354,0.918959
D0695823,D0682930,D0677722,0.843577,0.857446
D0695823,D0682930,D0678404,0.843577,0.892224
D0695823,D0682930,D0678405,0.843577,0.915031
D0695823,D0682930,D0678408,0.843577,0.897619
D0695823,D0682930,D0682929,0.843577,0.95069
D0694816,D0694815,D0679750,0.97805,0.831486
D0689132,D0689131,D0689130,0.901041,0.989368
D0689133,D0689131,D0689130,0.98401,0.989368
D0689133,D0689132,D0689130,0.911983,0.910413
D0689133,D0689132,D0689131,0.911983,0.901041
D0681717,D0679745,D0676481,0.933084,0.844896
D0681717,D0679745,D0676900,0.933084,0.823627
D0681717,D0679745,D0677714,0.933084,0.829068
D0689921,D0679745,D0676481,0.732916,0.844896
D0689921,D0679745,D0676900,0.732916,0.823627
D0689921,D0679745,D0677714,0.732916,0.829068
D0689921,D0681717,D0676481,0.725691,0.834054
D0689921,D0681717,D0679745,0.725691,0.933084
D0689921,D0681717,D0676900,0.725691,0.815303
D0689921,D0681717,D0677714,0.725691,0.873563
D0686657,D0679319,D0678396,0.824081,0.963935
D0688740,D0679319,D0678396,0.875045,0.963935
D0694813,D0679319,D0678396,0.88897,0.963935
D0686655,D0679319,D0678396,0.719911,0.963935
D0688739,D0679319,D0678396,0.829655,0.963935
D0694812,D0679319,D0678396,0.83598,0.963935
D0695337,D0679319,D0678396,0.850688,0.963935
D0688740,D0686657,D0679319,0.947777,0.824081
D0688740,D0686657,D0678396,0.947777,0.818398
D0688740,D0686657,D0686655,0.947777,0.900947
D0688740,D0686657,D0677717,0.947777,0.94816
D0694813,D0686657,D0679319,0.870692,0.824081
D0694813,D0686657,D0678396,0.870692,0.818398
D0694813,D0686657,D0686655,0.870692,0.900947
D0694813,D0686657,D0677717,0.870692,0.94816
D0688739,D0686657,D0679319,0.891081,0.824081
D0688739,D0686657,D0678396,0.891081,0.818398
D0688739,D0686657,D0686655,0.891081,0.900947
D0688739,D0686657,D0677717,0.891081,0.94816
D0694812,D0686657,D0679319,0.872763,0.824081
D0694812,D0686657,D0678396,0.872763,0.818398
D0694812,D0686657,D0686655,0.872763,0.900947
D0694812,D0686657,D0677717,0.872763,0.94816
D0695337,D0686657,D0679319,0.878689,0.824081
D0695337,D0686657,D0678396,0.878689,0.818398
D0695337,D0686657,D0686655,0.878689,0.900947
D0695337,D0686657,D0677717,0.878689,0.94816
D0690764,D0686657,D0679319,0.918441,0.824081
D0690764,D0686657,D0678396,0.918441,0.818398
D0690764,D0686657,D0686655,0.918441,0.900947
D0690764,D0686657,D0677717,0.918441,0.94816
D0694813,D0688740,D0679319,0.911162,0.875045
D0694813,D0688740,D0686657,0.911162,0.947777
D0694813,D0688740,D0678396,0.911162,0.853134
D0694813,D0688740,D0677717,0.911162,0.954343
D0690764,D0688740,D0679319,0.952348,0.875045
D0690764,D0688740,D0686657,0.952348,0.947777
D0690764,D0688740,D0678396,0.952348,0.853134
D0690764,D0688740,D0677717,0.952348,0.954343
D0694812,D0688740,D0679319,0.892061,0.875045
D0694812,D0688740,D0686657,0.892061,0.947777
D0694812,D0688740,D0678396,0.892061,0.853134
D0694812,D0688740,D0677717,0.892061,0.954343
D0695337,D0688740,D0679319,0.921508,0.875045
D0695337,D0688740,D0686657,0.921508,0.947777
D0695337,D0688740,D0678396,0.921508,0.853134
D0695337,D0688740,D0677717,0.921508,0.954343
D0695337,D0694813,D0679319,0.970828,0.88897
D0695337,D0694813,D0686657,0.970828,0.870692
D0695337,D0694813,D0688740,0.970828,0.911162
D0695337,D0694813,D0678396,0.970828,0.86277
D0695337,D0694813,D0694812,0.970828,0.952815
D0695337,D0694813,D0677717,0.970828,0.837695
D0695337,D0694813,D0690764,0.970828,0.943231
D0695337,D0694813,D0679320,0.970828,0.961869
D0679319,D0678396,D0677717,0.963935,0.767062
D0686655,D0678396,D0677717,0.692228,0.767062
D0686657,D0678396,D0677717,0.818398,0.767062
D0688739,D0678396,D0677717,0.793415,0.767062
D0694812,D0678396,D0677717,0.807303,0.767062
D0695337,D0678396,D0677717,0.818794,0.767062
D0688740,D0678396,D0677717,0.853134,0.767062
D0690764,D0678396,D0677717,0.88709,0.767062
D0694813,D0678396,D0677717,0.86277,0.767062
D0686657,D0686655,D0679319,0.900947,0.719911
D0686657,D0686655,D0678396,0.900947,0.692228
D0688739,D0686655,D0679319,0.885715,0.719911
D0688739,D0686655,D0678396,0.885715,0.692228
D0694812,D0686655,D0679319,0.85467,0.719911
D0694812,D0686655,D0678396,0.85467,0.692228
D0695337,D0686655,D0679319,0.8681,0.719911
D0695337,D0686655,D0678396,0.8681,0.692228
D0694812,D0688739,D0679319,0.928196,0.829655
D0694812,D0688739,D0686657,0.928196,0.891081
D0694812,D0688739,D0678396,0.928196,0.793415
D0694812,D0688739,D0686655,0.928196,0.885715
D0695337,D0688739,D0679319,0.972792,0.829655
D0695337,D0688739,D0686657,0.972792,0.891081
D0695337,D0688739,D0678396,0.972792,0.793415
D0695337,D0688739,D0686655,0.972792,0.885715
D0690764,D0688739,D0679319,0.937043,0.829655
D0690764,D0688739,D0686657,0.937043,0.891081
D0690764,D0688739,D0678396,0.937043,0.793415
D0690764,D0688739,D0686655,0.937043,0.885715
D0695337,D0694812,D0679319,0.944328,0.83598
D0695337,D0694812,D0686657,0.944328,0.872763
D0695337,D0694812,D0688740,0.944328,0.892061
D0695337,D0694812,D0678396,0.944328,0.807303
D0695337,D0694812,D0686655,0.944328,0.85467
D0695337,D0694812,D0688739,0.944328,0.928196
D0695337,D0694812,D0677717,0.944328,0.842038
D0695337,D0694812,D0690764,0.944328,0.926396
D0695337,D0694812,D0679748,0.944328,0.925275
D0694813,D0694812,D0679319,0.952815,0.83598
D0694813,D0694812,D0686657,0.952815,0.872763
D0694813,D0694812,D0688740,0.952815,0.892061
D0694813,D0694812,D0678396,0.952815,0.807303
D0694813,D0694812,D0686655,0.952815,0.85467
D0694813,D0694812,D0688739,0.952815,0.928196
D0694813,D0694812,D0677717,0.952815,0.842038
D0694813,D0694812,D0690764,0.952815,0.926396
D0694813,D0694812,D0679748,0.952815,0.925275
D0689126,D0687484,D0686654,0.943004,0.953511
D0690349,D0687484,D0686654,0.873961,0.953511
D0690349,D0689126,D0686654,0.909507,0.957051
D0690349,D0689126,D0687484,0.909507,0.943004
D0694812,D0690764,D0686657,0.926396,0.918441
D0694812,D0690764,D0688740,0.926396,0.952348
D0694812,D0690764,D0678396,0.926396,0.88709
D0694812,D0690764,D0688739,0.926396,0.937043
D0694812,D0690764,D0677717,0.926396,0.897288
D0694813,D0690764,D0686657,0.943231,0.918441
D0694813,D0690764,D0688740,0.943231,0.952348
D0694813,D0690764,D0678396,0.943231,0.88709
D0694813,D0690764,D0688739,0.943231,0.937043
D0694813,D0690764,D0677717,0.943231,0.897288
D0695337,D0690764,D0686657,0.938461,0.918441
D0695337,D0690764,D0688740,0.938461,0.952348
D0695337,D0690764,D0678396,0.938461,0.88709
D0695337,D0690764,D0688739,0.938461,0.937043
D0695337,D0690764,D0677717,0.938461,0.897288
D0693400,D0674007,D0674005,0.863208,0.857943
D0695338,D0674007,D0674005,0.954502,0.857943
D0695820,D0674007,D0674005,0.812976,0.857943
D0695338,D0693400,D0674005,0.805978,0.764034
D0695338,D0693400,D0674007,0.805978,0.863208
D0695820,D0693400,D0674005,0.976689,0.764034
D0695820,D0693400,D0674007,0.976689,0.863208
D0695820,D0695338,D0674005,0.746165,0.902917
D0695820,D0695338,D0674007,0.746165,0.954502
D0695820,D0695338,D0693400,0.746165,0.805978
D0679745,D0677714,D0676900,0.829068,0.819179
D0681717,D0677714,D0676900,0.873563,0.819179
D0689921,D0677714,D0676900,0.819823,0.819179
D0686273,D0677714,D0676900,0.70615,0.819179
D0685411,D0681107,D0680162,0.910843,0.892893
D0685411,D0681107,D0678403,0.910843,0.72208
D0685411,D0681107,D0680163,0.910843,0.91559
D0694316,D0681107,D0680162,0.727417,0.892893
D0694316,D0681107,D0678403,0.727417,0.72208
D0694316,D0681107,D0680163,0.727417,0.91559
D0681726,D0681107,D0680162,0.741974,0.892893
D0681726,D0681107,D0678403,0.741974,0.72208
D0681726,D0681107,D0680163,0.741974,0.91559
D0689543,D0681107,D0680162,0.718568,0.892893
D0689543,D0681107,D0678403,0.718568,0.72208
D0689543,D0681107,D0680163,0.718568,0.91559
D0687485,D0678937,D0676081,0.611506,0.75899
D0689541,D0678937,D0676081,0.787261,0.75899
D0692476,D0678937,D0676081,0.895095,0.75899
D0693872,D0678937,D0676081,0.879953,0.75899
D0689541,D0687485,D0676081,0.874559,0.885721
D0689541,D0687485,D0678937,0.874559,0.611506
D0692476,D0687485,D0676081,0.786341,0.885721
D0692476,D0687485,D0678937,0.786341,0.611506
D0692476,D0689541,D0676081,0.949974,0.9093
D0692476,D0689541,D0678937,0.949974,0.787261
D0692476,D0689541,D0687485,0.949974,0.874559
D0693399,D0692945,D0692944,0.924959,0.971721
D0682929,D0681728,D0677721,0.918959,0.882348
D0692052,D0681728,D0677721,0.913828,0.882348
D0694316,D0689543,D0681107,0.986572,0.718568
D0694316,D0689543,D0673603,0.986572,0.977056
D0694316,D0689543,D0680162,0.986572,0.913664
D0694316,D0689543,D0678403,0.986572,0.983473
D0694316,D0689543,D0680163,0.986572,0.885068
D0694316,D0689543,D0681726,0.986572,0.979317
D0694318,D0689543,D0681107,0.982998,0.718568
D0694318,D0689543,D0673603,0.982998,0.977056
D0694318,D0689543,D0680162,0.982998,0.913664
D0694318,D0689543,D0678403,0.982998,0.983473
D0694318,D0689543,D0680163,0.982998,0.885068
D0694318,D0689543,D0681726,0.982998,0.979317
D0694318,D0694316,D0681107,0.984277,0.727417
D0694318,D0694316,D0673603,0.984277,0.98676
D0694318,D0694316,D0689543,0.984277,0.986572
D0694317,D0685415,D0677720,0.807153,0.916115
D0694317,D0685415,D0681719,0.807153,0.851278
D0694319,D0685415,D0677720,0.672575,0.916115
D0694319,D0685415,D0681719,0.672575,0.851278
D0694319,D0694317,D0685415,0.915492,0.807153
D0681108,D0680162,D0680161,0.95093,0.95667
D0681108,D0680162,D0678403,0.95093,0.910178
D0680163,D0680162,D0680161,0.974731,0.95667
D0680163,D0680162,D0678403,0.974731,0.910178
D0681107,D0680162,D0680161,0.892893,0.95667
D0681107,D0680162,D0678403,0.892893,0.910178
